Avg_Hosp,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation,Avg_State_Category
2237.0,2,3,5,2630.0,3228.0,0.1027,0.1266,0.1491,3.0
58.0,2,3,6,103.0,89.0,0.0027,0.005,0.0040999999999999995,1.0
1456.0,2,3,7,1142.0,1174.0,0.0668,0.055,0.0542,2.0
21784.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
0.0,2,1,1,16.0,13.0,0.0,0.0008,0.0006,1.0
0.0,2,1,2,1.0,1.0,0.0,0.0,0.0,1.0
0.0,2,1,3,7.0,7.0,0.0,0.0004,0.0003,1.0
153.0,2,1,4,108.0,152.0,0.0102,0.0052,0.006999999999999999,1.0
0.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
5.0,2,1,6,8.0,8.0,0.0003,0.0004,0.0004,1.0
1250.0,2,1,7,537.0,585.0,0.0834,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
10429.0,2,2,3,9801.0,10139.0,0.6960999999999999,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,6,22.0,19.0,0.0,0.0011,0.0009,1.0
913.0,2,2,7,1495.0,1545.0,0.060899999999999996,0.0719,0.07139999999999999,2.0
93.0,2,3,1,999.0,825.0,0.0062,0.0481,0.0381,1.0
0.0,2,3,2,198.0,149.0,0.0,0.0095,0.0069,1.0
0.0,2,3,3,3004.0,2857.0,0.0,0.1446,0.132,4.0
839.0,2,3,4,705.0,855.0,0.055999999999999994,0.0339,0.0395,1.0
0.0,2,3,5,2630.0,3228.0,0.0,0.1266,0.1491,3.0
41.0,2,3,6,103.0,89.0,0.0028000000000000004,0.005,0.0040999999999999995,1.0
1259.0,2,3,7,1142.0,1174.0,0.08410000000000001,0.055,0.0542,2.0
14983.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
24.0,2,1,1,16.0,13.0,0.0013,0.0008,0.0006,1.0
2.0,2,1,2,1.0,1.0,0.0001,0.0,0.0,1.0
2.0,2,1,3,7.0,7.0,0.0001,0.0004,0.0003,1.0
66.0,2,1,4,108.0,152.0,0.0034000000000000002,0.0052,0.006999999999999999,1.0
1.0,2,1,5,2.0,2.0,0.0,0.0001,0.0001,1.0
6.0,2,1,6,8.0,8.0,0.0003,0.0004,0.0004,1.0
485.0,2,1,7,537.0,585.0,0.0253,0.0259,0.027000000000000003,1.0
0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
8011.0,2,2,3,9801.0,10139.0,0.4182,0.4717,0.46840000000000004,6.0
0.0,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0
26.0,2,2,6,22.0,19.0,0.0013,0.0011,0.0009,1.0
1082.0,2,2,7,1495.0,1545.0,0.0565,0.0719,0.07139999999999999,2.0
1190.0,2,3,1,999.0,825.0,0.0621,0.0481,0.0381,1.0
199.0,2,3,2,198.0,149.0,0.0104,0.0095,0.0069,1.0
2949.0,2,3,3,3004.0,2857.0,0.154,0.1446,0.132,4.0
505.0,2,3,4,705.0,855.0,0.0263,0.0339,0.0395,1.0
3498.0,2,3,5,2630.0,3228.0,0.1826,0.1266,0.1491,3.0
92.0,2,3,6,103.0,89.0,0.0048,0.005,0.0040999999999999995,1.0
1017.0,2,3,7,1142.0,1174.0,0.053099999999999994,0.055,0.0542,2.0
19155.0,2,4,8,20779.0,21646.0,1.0,1.0,1.0,6.0
0.0,2,1,1,16.0,13.0,0.0,0.0008,0.0006,1.0
